Wall time,Step,Value
1598338577.692555,90,-14.573057174682617
1598338595.338076,91,-14.64444351196289
1598338611.613054,92,-14.575175285339355
1598338627.90797,93,-14.888819694519043
1598338644.135762,94,-14.44898796081543
1598338660.439303,95,-14.394278526306152
1598338676.701617,96,-14.206184387207031
1598338693.007361,97,-14.493106842041016
1598338709.322453,98,-14.503755569458008
1598338725.606736,99,-14.51823902130127
1598338741.957174,100,-14.552897453308105
1598338759.876039,101,-14.593978881835938
1598338776.195942,102,-13.880170822143555
1598338792.424256,103,-14.037041664123535
1598338808.716483,104,-14.256254196166992
1598338824.990363,105,-14.441162109375
1598338841.302985,106,-14.279342651367188
1598338857.652743,107,-14.183672904968262
1598338873.920043,108,-14.498188018798828
1598338890.227437,109,-14.066585540771484
1598338906.546034,110,-14.2694091796875
1598338924.182759,111,-14.31340217590332
1598338940.503965,112,-14.19483757019043
1598338956.788101,113,-13.99282169342041
1598338973.055261,114,-13.963193893432617
1598338989.373034,115,-14.342949867248535
1598339005.632347,116,-14.703067779541016
1598339021.937392,117,-14.104409217834473
1598339038.188948,118,-14.669610023498535
1598339054.501778,119,-14.29896068572998
1598339070.804048,120,-14.581222534179688
1598339088.409854,121,-14.16906452178955
1598339104.677611,122,-13.789058685302734
1598339120.944953,123,-14.330206871032715
1598339137.266739,124,-14.469682693481445
1598339153.588377,125,-14.54088020324707
1598339169.893708,126,-14.720223426818848
1598339186.18664,127,-14.827640533447266
1598339202.497635,128,-14.33062744140625
1598339218.84462,129,-14.280550003051758
1598339235.195108,130,-14.580147743225098
1598339252.78855,131,-14.4134521484375
1598339269.026529,132,-14.711234092712402
1598339285.348129,133,-14.626639366149902
1598339301.689167,134,-15.000874519348145
1598339317.998807,135,-14.170969009399414
1598339334.26538,136,-14.981550216674805
1598339350.617113,137,-14.057931900024414
1598339366.861461,138,-14.861838340759277
1598339383.148645,139,-14.54352855682373
1598339399.423618,140,-14.747936248779297
1598339417.163747,141,-14.70245361328125
1598339433.373569,142,-15.068644523620605
1598339449.607035,143,-14.99241828918457
1598339465.864127,144,-15.265971183776855
1598339482.093547,145,-14.641420364379883
1598339498.371308,146,-14.881598472595215
1598339514.665643,147,-14.781126022338867
1598339530.983163,148,-14.091950416564941
1598339547.255906,149,-14.38224983215332
1598339563.595958,150,-14.750656127929688
1598339581.232331,151,-14.980724334716797
1598339597.470574,152,-15.065044403076172
1598339613.770631,153,-15.08547592163086
1598339630.040636,154,-14.897050857543945
1598339646.431712,155,-14.646891593933105
1598339662.779445,156,-14.558781623840332
1598339679.059233,157,-15.216312408447266
1598339695.411948,158,-14.946760177612305
1598339711.689233,159,-14.65956974029541
1598339727.987531,160,-14.494205474853516
1598339745.572679,161,-14.992778778076172
