Wall time,Step,Value
1598337064.521893,0,980.2388305664062
1598337122.602393,1,778.42724609375
1598337138.161156,2,636.8311767578125
1598337153.777042,3,548.5233154296875
1598337169.499083,4,452.84722900390625
1598337185.274703,5,394.3885498046875
1598337201.112997,6,316.2272033691406
1598337217.013209,7,272.5486145019531
1598337232.92544,8,223.0071563720703
1598337248.819997,9,184.9622344970703
1598337264.867583,10,156.62811279296875
1598337282.247287,11,131.93304443359375
1598337298.382275,12,103.72138214111328
1598337314.507694,13,94.6005859375
1598337330.707896,14,71.42642211914062
1598337346.881157,15,66.26976013183594
1598337363.148054,16,37.56288146972656
1598337379.398568,17,18.465383529663086
1598337395.626121,18,24.225257873535156
1598337411.88908,19,11.404236793518066
1598337428.158638,20,-1.069201946258545
1598337445.858001,21,6.8260273933410645
1598337462.044614,22,14.687313079833984
1598337478.352972,23,-17.507362365722656
1598337494.693282,24,0.2822772264480591
1598337510.943461,25,7.57547664642334
1598337527.234763,26,9.717411041259766
1598337543.498346,27,-6.931653022766113
1598337559.788685,28,0.7951469421386719
1598337576.071988,29,6.012128829956055
1598337592.317084,30,-2.207200050354004
1598337610.156907,31,-4.4677910804748535
1598337626.423641,32,5.360476493835449
1598337642.688069,33,9.166858673095703
1598337658.985264,34,-12.172663688659668
1598337675.244921,35,10.187888145446777
1598337691.582224,36,1.2320008277893066
1598337707.831655,37,-1.9050745964050293
1598337724.121996,38,0.6743256449699402
1598337740.439224,39,1.8311644792556763
1598337756.751425,40,2.115103006362915
1598337774.362619,41,3.901820182800293
1598337790.674905,42,-0.2532793879508972
1598337806.945405,43,-0.7367055416107178
1598337823.240222,44,-1.3140569925308228
1598337839.546194,45,-1.4105128049850464
1598337855.794598,46,2.291621685028076
1598337872.105194,47,16.03741455078125
1598337888.401499,48,9.098998069763184
1598337904.643479,49,7.307398319244385
1598337920.951789,50,7.24241828918457
1598337938.668054,51,6.209564685821533
1598337954.898009,52,0.9987044930458069
1598337971.16789,53,6.865329265594482
1598337987.428939,54,-3.870549440383911
1598338003.662891,55,11.151285171508789
1598338019.917466,56,-6.063352108001709
1598338036.157759,57,-7.5692291259765625
1598338052.427915,58,-7.033154010772705
1598338068.771571,59,5.109702110290527
1598338084.998329,60,-2.9359524250030518
1598338102.726488,61,-21.78742218017578
1598338118.955908,62,-5.746376037597656
1598338135.196778,63,3.335188150405884
1598338151.508015,64,-9.496564865112305
1598338167.779553,65,-18.527040481567383
1598338184.030393,66,-13.226927757263184
1598338200.326277,67,-8.419626235961914
1598338216.601757,68,-3.585160970687866
1598338232.962004,69,-1.831817626953125
1598338249.234038,70,-1.0858323574066162
1598338266.98097,71,-1.7292500734329224
1598338283.215847,72,-1.4622751474380493
1598338299.449819,73,-3.2418229579925537
1598338315.767234,74,-5.072842121124268
1598338332.002488,75,-8.922049522399902
1598338348.291681,76,-4.098170280456543
1598338364.605701,77,-3.675839424133301
1598338380.889227,78,-2.487290859222412
1598338397.211089,79,-4.613371849060059
1598338413.54906,80,-2.275022268295288
1598338431.142336,81,-0.3701901435852051
1598338447.403396,82,-7.880879878997803
1598338463.664968,83,-6.892279624938965
1598338479.955232,84,-3.5449328422546387
1598338496.232971,85,-4.157761573791504
1598338512.496136,86,-2.5813376903533936
1598338528.769469,87,6.697098255157471
1598338545.052142,88,-1.514385461807251
