Wall time,Step,Value
1598337064.523731,0,23.74759292602539
1598337122.604881,1,17.294239044189453
1598337138.163563,2,12.924010276794434
1598337153.779287,3,9.986603736877441
1598337169.501382,4,7.475314617156982
1598337185.276937,5,5.704341411590576
1598337201.114159,6,4.124017238616943
1598337217.015618,7,2.9460887908935547
1598337232.927456,8,2.2439677715301514
1598337248.822103,9,1.445961594581604
1598337264.869946,10,1.050759196281433
1598337282.249449,11,0.6979945302009583
1598337298.38484,12,0.4352489113807678
1598337314.509844,13,0.25533246994018555
1598337330.710032,14,0.16484440863132477
1598337346.883609,15,0.08235308527946472
1598337363.150298,16,0.08799804002046585
1598337379.400747,17,0.05715882033109665
1598337395.628368,18,0.04490719735622406
1598337411.89136,19,0.034645356237888336
1598337428.160764,20,0.036276791244745255
1598337445.860242,21,0.0395691879093647
1598337462.047258,22,0.03523315489292145
1598337478.355628,23,0.048595838248729706
1598337494.695661,24,0.03931829705834389
1598337510.945747,25,0.030089765787124634
1598337527.236831,26,0.029348161071538925
1598337543.501049,27,0.02512948028743267
1598337559.791036,28,0.03321433812379837
1598337576.074454,29,0.034550487995147705
1598337592.319348,30,0.03494665399193764
1598337610.159868,31,0.03290368989109993
1598337626.425898,32,0.03430270403623581
1598337642.690326,33,0.04847456514835358
1598337658.987308,34,0.06274839490652084
1598337675.247104,35,0.07636304199695587
1598337691.584589,36,0.08499587327241898
1598337707.833905,37,0.10914010554552078
1598337724.124917,38,0.12815293669700623
1598337740.441637,39,0.1440836787223816
1598337756.753595,40,0.16677325963974
1598337774.364883,41,0.1853114515542984
1598337790.677018,42,0.20409780740737915
1598337806.947441,43,0.22961968183517456
1598337823.243068,44,0.22682738304138184
1598337839.548314,45,0.23295198380947113
1598337855.797063,46,0.248809814453125
1598337872.106406,47,0.2688259482383728
1598337888.40359,48,0.26644718647003174
1598337904.646316,49,0.274461567401886
1598337920.953885,50,0.27744337916374207
1598337938.670184,51,0.2855323553085327
1598337954.900115,52,0.28408342599868774
1598337971.170332,53,0.2802918553352356
1598337987.431202,54,0.27321454882621765
1598338003.664918,55,0.2969932556152344
1598338019.919549,56,0.30581364035606384
1598338036.159877,57,0.30334845185279846
1598338052.430307,58,0.284595251083374
1598338068.774233,59,0.25512367486953735
1598338085.000619,60,0.29138052463531494
1598338102.728714,61,0.2883080244064331
1598338118.95806,62,0.2883966863155365
1598338135.199047,63,0.3912197947502136
1598338151.510014,64,0.32729148864746094
1598338167.782015,65,0.31690695881843567
1598338184.032694,66,0.30029863119125366
1598338200.328981,67,0.3231825828552246
1598338216.60379,68,0.33364495635032654
1598338232.964119,69,0.3189491629600525
1598338249.236176,70,0.3203304409980774
1598338266.983624,71,0.3163076341152191
